hydrogen_percentage,fuel_cell_age_years,fuel_cell_efficiency,ambient_temp,terrain_slope,speed_avg_kmph,acceleration_level,hvac_on,driving_mode,drive_type,cargo_volume_liters,top_speed_kmph,total_power_kw,total_torque_nm,range_in_km
32.79,13.44,50.55,cold,-2.85,79.88,0.02,no,normal,FWD,1412.39,248.18,85.57,312.63,479.25
71.21,0.23,57.27,mild,2.93,92.9,0.82,yes,eco,AWD,737.54,151.19,85.61,354.36,563.41
85.24,5.69,56.16,cold,-0.33,51.06,0.72,no,sport,AWD,963.71,289.07,116.77,427.43,599.91
65.36,14.07,47.51,hot,-2.95,97.73,0.13,no,normal,RWD,1598.93,237.96,191.69,305.53,550.79
55.07,9.58,51.86,cold,4.29,96.65,0.6,no,normal,RWD,1837.53,215.66,176.8,749.28,518.25
25.27,13.38,48.03,hot,1.03,75.48,0.87,no,sport,AWD,1344.04,212.27,160.06,726.62,447.41
29.12,6.63,57.41,mild,-3.3,51.4,0.88,yes,normal,RWD,936.13,159.03,77.83,228.39,465.92
48.25,11.2,61.73,mild,0.48,118.61,0.16,no,sport,RWD,1342.02,209.85,152.13,901.9,501.65
49.52,11.32,58.49,cold,1.14,114.93,0.46,no,sport,RWD,907.57,189.16,197.44,777.82,529.3
72.51,13.2,50.14,hot,2.84,21.03,0.75,no,normal,AWD,649.38,157.98,63.14,350.71,480.4
39.57,3.06,47.71,hot,-0.42,65.02,0.76,yes,eco,FWD,853.4,180.03,99.12,620.62,501.73
23.16,11.93,60.73,hot,2.85,26.32,0.61,no,normal,AWD,1590.73,225.6,101.55,389.2,427.72
11.08,10.03,51.42,cold,-4.39,51.7,0.2,no,normal,AWD,1547.32,200.96,97.37,826.32,431.94
56.59,8.91,42.79,cold,3.23,77.08,0.07,no,normal,FWD,338.03,280.39,212.07,488.95,591.0
54.13,9.56,47.54,hot,-0.76,95.29,0.56,yes,sport,RWD,200.33,239.67,190.66,986.99,522.3
21.11,1.28,49.03,hot,2.01,108.7,0.0,no,eco,RWD,1736.49,227.16,76.39,892.68,478.62
44.72,6.8,62.14,mild,-0.03,76.99,0.57,no,sport,RWD,1429.4,287.32,180.63,998.13,571.48
66.88,7.04,49.72,hot,4.81,69.53,0.15,yes,eco,FWD,302.69,253.96,72.43,520.24,562.86
39.79,8.92,62.71,cold,-4.05,23.21,0.82,yes,normal,RWD,1974.42,256.32,163.8,344.39,484.33
81.05,5.58,49.02,hot,-0.8,103.41,0.34,no,normal,RWD,738.41,202.56,247.17,375.94,644.73
73.2,10.16,46.11,cold,4.74,32.28,0.7,no,eco,RWD,368.55,234.9,246.82,264.53,600.73
22.6,2.12,60.87,cold,-3.64,81.19,0.81,yes,eco,FWD,159.08,172.96,73.95,750.88,504.12
72.15,4.81,44.92,mild,2.82,57.2,0.45,yes,normal,FWD,1376.56,223.11,174.85,619.16,565.25
23.99,3.72,40.09,mild,-2.54,41.9,0.7,no,sport,FWD,771.14,175.28,125.65,968.95,483.47
35.3,11.69,43.76,cold,3.95,37.14,0.35,no,eco,RWD,1189.56,208.16,182.0,463.78,504.66
95.09,14.05,57.58,mild,2.04,102.33,0.06,yes,normal,FWD,1312.33,289.41,157.07,598.15,561.19
21.6,14.99,47.12,hot,-1.44,49.38,0.55,no,normal,AWD,977.07,298.52,144.12,414.02,465.98
91.86,12.67,40.4,cold,0.9,49.78,0.59,no,sport,RWD,1176.87,235.47,116.34,424.66,537.21
98.98,7.43,46.96,cold,0.54,22.48,0.89,yes,normal,RWD,1382.97,181.71,141.37,182.95,545.69
37.22,9.38,45.28,hot,0.8,76.15,0.83,yes,sport,AWD,1088.21,224.37,178.31,441.02,453.18
18.19,11.71,56.52,mild,4.79,67.38,0.12,no,eco,AWD,1564.52,241.35,202.13,858.59,534.44
32.62,10.19,54.37,hot,-1.55,111.83,0.36,no,normal,RWD,413.65,274.32,249.75,844.93,534.7
77.88,7.45,51.39,hot,2.73,95.92,0.55,no,eco,AWD,1197.22,253.9,139.54,759.39,584.72
98.43,5.49,58.86,hot,-4.02,39.18,0.29,no,normal,RWD,1244.95,279.75,155.98,551.09,636.92
89.27,5.71,48.85,cold,3.77,110.35,0.85,yes,normal,RWD,1189.38,202.25,141.02,782.8,497.4
67.36,3.7,53.64,hot,-1.26,88.97,0.62,yes,sport,FWD,1092.31,216.48,67.56,724.79,506.73
11.29,10.53,47.13,mild,0.31,68.23,0.86,no,eco,FWD,501.11,285.37,244.17,632.72,535.48
42.58,1.86,44.16,mild,4.46,74.3,0.03,no,normal,FWD,1571.19,286.45,154.73,145.88,556.97
74.49,6.25,61.17,cold,-4.23,26.56,0.91,no,normal,FWD,136.75,219.14,236.75,802.45,627.63
76.39,6.55,44.28,mild,-2.44,59.68,0.51,yes,normal,AWD,1281.42,240.05,212.85,421.58,557.57
35.65,2.84,47.43,mild,-0.32,97.15,0.49,yes,normal,RWD,882.44,258.4,111.0,296.42,470.41
40.82,6.58,58.07,mild,3.24,49.51,0.27,no,eco,RWD,624.64,271.59,215.82,718.16,617.33
85.95,10.4,48.55,hot,2.15,112.23,0.32,yes,sport,FWD,923.55,185.28,170.36,438.63,510.49
49.36,7.86,56.28,hot,3.55,22.47,0.26,yes,normal,AWD,1559.57,212.76,172.74,948.77,529.86
12.41,4.42,59.62,cold,-4.02,41.71,0.47,yes,eco,RWD,671.22,160.83,145.82,279.39,526.96
37.36,3.92,43.82,cold,-0.38,43.53,0.83,yes,sport,RWD,685.76,235.97,85.84,243.78,478.69
16.01,5.2,48.16,cold,-4.51,90.86,0.91,yes,eco,RWD,244.2,201.3,55.41,741.27,429.67
87.41,6.06,61.83,mild,0.55,31.21,0.33,no,eco,FWD,1406.76,285.92,79.1,539.84,634.09
35.07,6.18,59.25,cold,-3.84,30.35,0.69,no,normal,RWD,1418.74,278.26,243.21,930.82,576.78
72.82,1.89,60.89,cold,-0.81,69.66,0.49,yes,eco,AWD,1648.7,238.89,91.55,755.66,584.83
30.05,9.84,43.22,cold,-1.17,84.53,0.58,yes,eco,FWD,1237.54,208.8,80.26,540.73,437.52
71.49,0.17,42.55,hot,-1.87,104.43,0.96,yes,sport,FWD,586.13,272.95,164.86,587.34,516.94
19.26,13.59,59.93,hot,-2.43,35.34,0.52,yes,normal,AWD,1908.44,231.77,78.4,836.38,414.76
89.47,8.67,63.44,hot,1.82,115.42,0.83,yes,normal,AWD,1786.38,263.97,120.79,389.15,501.88
52.92,5.28,45.29,mild,-3.19,99.38,0.86,no,eco,AWD,656.07,252.61,144.44,394.46,518.05
78.68,11.89,56.9,hot,3.62,52.99,0.67,yes,eco,AWD,1503.27,257.58,238.75,794.44,592.23
88.39,14.54,45.34,hot,3.95,42.61,0.17,yes,eco,AWD,1716.03,199.28,175.19,504.86,567.69
53.47,0.45,46.54,mild,4.27,97.08,0.75,no,normal,FWD,843.7,176.22,153.98,903.79,545.29
51.2,12.88,59.15,cold,-4.16,60.8,0.93,no,eco,AWD,1712.78,279.52,68.85,318.19,454.59
61.28,9.74,42.46,hot,2.4,80.5,0.24,yes,normal,AWD,1724.23,243.81,199.44,789.79,540.29
66.86,10.98,51.69,mild,-3.24,68.39,0.28,no,normal,RWD,498.22,156.63,152.7,221.7,585.67
95.1,6.66,55.88,cold,-4.77,88.59,0.02,no,sport,AWD,289.85,181.36,228.84,849.48,660.28
41.08,9.76,48.99,hot,-2.68,34.36,0.04,yes,sport,FWD,1353.38,241.6,70.18,978.31,447.48
13.37,10.34,40.71,cold,2.26,31.65,0.83,no,normal,AWD,598.62,197.07,70.49,970.8,413.36
55.5,1.0,45.92,hot,-2.0,119.42,0.53,yes,eco,AWD,759.51,268.85,186.45,987.51,521.73
96.46,3.27,56.31,mild,3.85,71.37,0.96,yes,sport,FWD,933.03,199.55,216.2,338.84,601.88
19.6,8.79,59.72,cold,4.01,59.55,0.08,no,sport,RWD,1434.98,267.71,121.4,656.83,491.81
64.42,1.24,61.7,cold,-4.65,95.14,0.94,no,normal,AWD,1840.18,188.69,233.82,155.31,595.14
69.75,5.17,57.97,hot,-0.56,66.04,0.09,yes,sport,RWD,1836.85,229.28,244.02,570.74,630.39
28.58,13.76,47.38,hot,1.77,116.43,0.72,yes,sport,RWD,1074.33,286.59,194.52,597.28,382.17
30.82,13.78,53.92,hot,4.18,22.2,0.58,no,normal,AWD,178.12,288.07,90.34,646.17,446.67
33.47,3.14,43.24,cold,2.84,39.28,0.02,yes,sport,AWD,563.91,183.71,90.57,511.52,467.63
28.68,3.55,45.39,mild,1.62,45.84,0.26,yes,normal,RWD,374.51,276.75,101.86,116.47,523.61
66.51,13.19,58.32,mild,-3.4,114.85,0.47,yes,eco,AWD,800.08,270.56,203.3,994.23,517.96
48.6,4.83,47.12,mild,-1.11,40.49,0.89,yes,eco,RWD,173.66,286.76,97.7,817.95,505.13
78.79,11.36,51.87,cold,0.09,107.7,0.95,yes,sport,AWD,698.0,168.67,145.19,726.59,476.43
53.05,13.56,41.87,mild,-3.37,65.68,0.5,yes,normal,AWD,1259.03,224.16,86.64,839.81,428.38
36.15,8.19,51.92,cold,-2.7,21.7,0.4,yes,normal,AWD,1000.56,251.21,141.27,506.7,484.09
88.08,5.3,47.63,cold,0.67,79.89,0.39,no,sport,FWD,190.07,192.0,100.55,321.87,600.92
99.08,2.17,54.03,hot,3.3,107.39,0.78,no,eco,FWD,1808.77,227.1,179.67,386.4,627.4
67.09,8.8,48.32,mild,3.94,31.38,0.55,no,eco,RWD,610.54,253.43,221.84,507.21,607.89
54.55,3.28,53.92,cold,-1.97,62.45,0.52,no,sport,FWD,1343.44,223.69,192.56,954.99,589.97
84.92,6.71,61.72,hot,-1.06,83.68,0.62,yes,sport,FWD,1720.64,255.76,76.98,314.45,543.64
67.27,2.71,49.91,mild,1.57,102.26,0.96,yes,eco,AWD,698.4,179.6,130.78,792.74,520.91
89.76,5.25,40.42,cold,-0.73,29.62,0.62,yes,normal,FWD,1319.08,236.57,58.4,861.52,517.8
22.85,11.82,57.24,hot,2.84,20.82,0.9,yes,normal,RWD,791.77,203.53,217.36,781.61,463.75
17.04,13.29,43.11,mild,-0.64,117.96,1.0,yes,normal,RWD,1607.1,270.74,65.48,139.63,323.39
53.04,6.06,45.28,mild,1.88,36.93,0.69,yes,sport,RWD,708.12,182.62,184.14,124.4,536.65
53.04,2.71,54.32,cold,-3.55,28.87,0.39,yes,eco,RWD,312.31,273.92,97.37,944.21,558.95
81.36,14.28,62.07,cold,-2.67,32.28,0.92,yes,eco,AWD,1541.54,268.69,142.79,207.22,519.62
86.58,3.68,54.04,cold,-3.62,74.87,0.63,yes,sport,RWD,1398.19,259.96,81.2,927.46,536.45
24.44,5.86,54.88,hot,1.76,33.03,0.95,yes,eco,FWD,1110.34,151.12,147.86,740.15,487.64
46.93,0.32,49.12,mild,4.33,55.47,0.08,no,normal,RWD,1948.37,296.89,144.19,471.45,581.94
19.01,9.61,54.63,mild,1.78,76.74,0.52,no,sport,AWD,1772.43,269.91,151.7,141.27,471.51
81.87,9.24,62.15,cold,-1.76,57.09,0.04,yes,normal,AWD,1571.74,240.87,107.78,594.86,584.27
38.43,5.77,63.52,hot,2.09,116.31,0.71,yes,normal,RWD,1501.15,280.36,186.28,160.4,488.33
11.01,0.82,55.63,cold,-2.95,27.0,0.18,no,eco,AWD,971.04,152.16,184.4,907.35,561.68
36.34,10.3,44.21,cold,3.38,58.46,0.33,no,sport,AWD,486.66,256.69,231.89,390.98,540.58
29.44,9.28,40.84,mild,0.48,44.7,0.17,yes,sport,RWD,766.63,192.61,138.16,470.31,465.69
37.32,8.66,42.08,cold,-3.67,118.21,0.19,yes,normal,AWD,1590.58,223.66,99.86,863.6,395.21
70.55,7.62,55.39,hot,-3.57,96.73,0.46,yes,sport,RWD,569.35,161.05,222.28,266.43,575.28
59.0,10.38,59.9,hot,-2.26,72.91,0.17,yes,normal,AWD,1718.65,211.0,191.0,780.76,564.74
15.42,10.77,52.39,hot,-4.06,74.96,0.3,no,normal,AWD,1122.01,279.25,131.6,895.59,464.36
51.58,14.18,55.25,mild,-3.88,81.47,0.98,yes,normal,RWD,559.42,157.95,206.35,814.61,494.65
79.6,6.4,54.53,cold,0.91,118.48,0.95,no,sport,FWD,812.21,194.52,88.64,605.52,483.86
95.38,1.69,54.76,cold,-3.47,61.81,0.74,yes,normal,RWD,1081.97,253.39,81.78,961.74,561.75
15.04,13.69,48.32,mild,-2.91,102.19,0.55,no,normal,RWD,1620.23,247.85,55.31,145.65,371.96
74.32,0.37,64.54,mild,-2.95,41.79,0.74,no,eco,AWD,890.22,214.27,182.44,617.54,674.92
29.46,1.06,41.48,hot,2.32,43.44,0.72,no,eco,FWD,1906.0,186.44,71.47,637.51,476.49
21.57,9.96,61.64,mild,0.87,51.89,0.2,no,sport,RWD,296.01,258.61,171.81,540.25,532.06
26.54,11.2,63.24,mild,0.65,105.17,0.08,yes,sport,RWD,1325.55,286.48,230.45,640.92,519.93
29.56,1.7,49.58,mild,-3.8,62.92,0.65,no,eco,FWD,1988.23,205.95,237.71,475.85,589.83
15.91,9.77,55.5,cold,-2.1,52.68,0.18,no,sport,AWD,1810.37,172.39,224.1,628.61,521.9
86.95,12.43,56.07,mild,-2.69,28.9,0.86,yes,eco,FWD,1887.4,213.24,190.6,752.68,545.93
23.2,8.79,64.96,cold,0.81,108.77,0.87,no,sport,FWD,469.42,255.07,166.4,240.19,464.88
18.67,1.16,49.16,cold,-1.92,70.0,0.7,no,sport,RWD,1737.31,167.79,165.55,571.38,503.69
52.36,13.64,45.36,hot,2.47,61.62,0.09,yes,eco,RWD,1482.45,281.03,82.55,312.59,497.24
23.71,11.31,53.08,mild,4.28,30.61,0.04,no,normal,AWD,559.12,177.38,175.17,678.1,502.99
38.98,11.76,61.14,cold,-3.09,22.79,0.53,no,sport,AWD,1282.46,282.65,241.43,507.31,535.33
10.55,6.29,44.98,mild,-2.5,27.2,0.74,no,sport,FWD,1005.01,184.31,163.21,835.56,466.8
68.57,11.48,56.58,hot,3.98,44.48,0.29,yes,sport,FWD,1522.52,246.53,115.39,449.86,489.95
47.27,12.18,62.8,mild,0.79,70.77,0.24,yes,eco,RWD,537.75,160.03,78.12,365.77,543.17
56.01,0.89,59.56,hot,0.1,38.18,0.0,yes,eco,RWD,1473.78,265.84,113.72,563.36,613.55
10.73,12.04,61.93,cold,3.06,84.74,0.51,no,sport,AWD,1120.57,153.82,73.2,805.72,433.63
43.44,1.26,52.49,mild,0.31,75.65,0.72,yes,normal,AWD,1429.17,228.42,117.67,772.66,526.01
21.84,12.12,64.12,cold,-0.35,89.22,0.95,no,normal,AWD,1491.81,166.86,226.15,678.79,497.28
45.39,8.64,42.56,mild,-2.36,103.46,0.9,no,sport,AWD,867.8,185.06,155.96,592.84,444.58
27.12,10.47,42.71,cold,1.22,64.59,0.95,no,eco,AWD,1695.51,219.01,236.1,184.18,521.22
34.23,12.5,55.59,hot,-3.39,45.53,0.43,yes,eco,FWD,1697.77,220.02,102.83,293.39,480.29
66.37,4.53,52.26,mild,0.76,67.45,0.95,no,sport,AWD,1303.45,198.22,82.64,685.12,528.86
40.48,14.16,63.73,hot,2.47,106.04,0.72,yes,normal,AWD,634.06,178.89,204.2,552.37,459.89
25.84,5.22,59.62,hot,2.31,61.08,0.36,no,sport,FWD,147.95,299.83,160.1,323.87,544.2
18.53,1.13,48.82,hot,2.58,85.95,0.64,no,eco,AWD,350.09,185.28,151.22,976.19,548.66
44.7,10.8,47.47,cold,-2.16,72.33,0.29,yes,normal,FWD,338.09,175.62,220.43,948.23,548.5
36.5,12.73,57.94,hot,-0.58,99.57,0.56,no,sport,RWD,431.4,209.43,227.93,663.63,537.11
64.28,7.76,54.02,cold,3.88,31.37,0.99,yes,normal,AWD,1466.59,282.04,155.66,571.7,492.14
55.98,5.76,54.12,hot,-0.77,58.42,0.47,no,normal,RWD,1134.12,206.36,198.39,332.13,616.62
42.01,3.39,62.51,mild,-4.12,83.27,0.7,yes,normal,FWD,1801.9,247.41,218.16,344.64,572.47
97.05,2.06,41.08,mild,-3.76,42.83,0.56,no,eco,FWD,405.61,270.52,57.71,229.37,611.25
53.76,5.0,48.84,mild,-2.5,42.62,0.39,no,sport,RWD,1977.99,166.41,214.33,578.01,579.52
67.98,9.28,64.82,hot,4.21,87.52,0.27,yes,normal,AWD,721.83,153.89,236.97,908.02,618.59
73.53,13.15,42.82,mild,-4.46,33.07,0.84,yes,normal,AWD,1921.11,153.19,148.77,466.62,438.2
77.47,8.4,61.63,cold,-2.83,86.72,0.33,yes,normal,AWD,1860.34,266.88,70.72,861.48,512.29
68.86,0.95,54.75,mild,1.63,107.93,0.97,no,sport,RWD,893.32,277.93,204.67,517.78,572.71
52.04,6.97,55.31,mild,0.96,28.55,0.1,no,sport,FWD,1960.49,266.62,79.21,443.49,511.95
21.2,2.52,45.53,mild,-2.55,80.21,0.7,yes,normal,FWD,1032.33,220.57,164.56,785.23,475.48
17.94,0.77,47.22,mild,2.74,23.62,0.17,no,eco,AWD,1371.08,228.94,147.57,574.92,530.44
64.89,8.21,41.4,hot,-4.49,59.3,0.46,yes,sport,RWD,226.3,254.57,247.57,895.07,572.01
45.15,5.47,46.19,cold,0.28,109.18,0.77,yes,eco,AWD,911.94,218.95,55.87,444.03,417.95
50.31,8.15,60.09,mild,0.45,102.25,0.75,no,normal,FWD,1929.8,172.83,177.38,761.67,529.11
50.82,0.96,41.86,mild,-4.79,116.2,0.09,yes,normal,FWD,1272.66,238.98,123.71,260.62,473.86
41.85,13.85,58.46,cold,-1.99,51.23,0.47,yes,normal,AWD,573.59,276.0,89.2,386.76,487.47
28.43,5.99,51.36,hot,1.35,40.04,0.52,yes,normal,RWD,820.9,260.95,100.87,602.32,499.7
19.21,2.13,53.39,cold,-2.11,96.37,0.82,yes,normal,AWD,1391.59,268.59,170.79,697.13,480.07
80.61,5.09,43.77,hot,-4.29,85.6,0.2,no,normal,FWD,1774.23,222.48,225.3,527.93,623.13
31.1,10.96,59.23,cold,2.63,109.9,0.49,no,eco,RWD,1067.79,288.56,186.76,158.81,525.36
83.75,3.53,61.13,mild,-0.72,113.03,0.24,no,sport,RWD,677.18,210.28,164.91,568.47,594.1
57.34,13.12,58.58,hot,0.87,49.61,0.99,no,eco,AWD,870.27,183.16,199.47,352.49,565.44
41.83,5.03,51.01,hot,1.48,113.72,0.14,no,normal,AWD,977.12,297.78,164.24,133.01,518.26
32.31,6.87,61.71,hot,4.46,55.3,0.56,yes,eco,FWD,1176.13,268.58,76.55,229.04,491.85
77.4,0.3,40.81,cold,-3.09,111.32,0.05,no,eco,RWD,1983.18,176.18,93.17,233.34,556.86
22.9,14.52,55.49,hot,0.44,63.88,0.02,yes,normal,RWD,732.93,299.98,101.42,174.71,466.55
98.69,7.12,42.32,mild,-1.71,46.95,0.79,no,normal,RWD,595.32,207.44,103.24,720.77,586.88
56.77,9.86,57.13,cold,1.81,74.87,0.23,no,normal,FWD,937.68,228.34,223.2,567.08,608.87
22.92,3.28,63.7,mild,-1.89,114.63,0.29,no,sport,RWD,876.71,167.86,207.56,109.68,539.55
99.08,9.98,45.04,hot,4.05,97.24,0.2,yes,eco,FWD,1598.59,286.44,111.4,711.12,540.71
69.18,0.01,40.57,mild,3.43,85.23,0.83,no,eco,AWD,420.24,292.59,238.96,563.9,635.05
40.32,5.58,48.89,cold,2.35,113.19,0.49,no,sport,AWD,1348.58,238.57,170.53,698.9,476.91
97.85,12.02,58.33,hot,-2.85,33.26,0.44,yes,eco,AWD,1841.13,273.13,212.58,264.15,619.22
73.85,1.06,57.46,cold,-1.38,77.82,0.08,no,normal,RWD,994.28,271.25,136.26,112.67,664.8
12.39,9.71,60.94,mild,-4.31,112.09,0.95,no,sport,RWD,1689.48,160.19,204.25,144.75,432.6
36.5,8.98,44.25,cold,1.37,57.48,0.73,no,eco,RWD,1435.27,157.82,148.71,916.8,533.44
12.76,8.96,48.52,hot,-2.71,27.0,0.23,yes,sport,AWD,797.39,158.76,96.7,872.78,424.62
99.34,1.58,62.25,mild,-0.55,40.37,0.37,yes,eco,FWD,777.13,255.89,123.97,231.14,673.38
57.49,10.39,57.71,mild,-2.84,27.74,0.4,no,normal,FWD,539.35,258.67,66.34,552.94,511.61
74.87,9.74,55.82,hot,-2.05,32.91,0.11,yes,sport,RWD,1483.99,167.62,128.4,805.62,526.99
42.34,11.58,41.22,mild,3.89,50.48,0.67,no,normal,RWD,858.91,235.9,114.8,183.46,455.45
98.25,14.62,50.07,mild,-3.98,54.28,0.1,yes,normal,RWD,1353.48,162.62,181.97,233.54,593.96
80.33,5.32,58.78,mild,-4.27,38.32,0.08,no,normal,AWD,1414.39,283.84,109.11,803.35,588.88
70.98,3.8,45.18,cold,-3.85,20.2,0.62,yes,sport,FWD,695.33,249.43,147.86,793.75,513.02
45.69,10.83,51.12,cold,-2.26,37.7,0.51,no,eco,RWD,586.12,216.37,66.77,808.57,514.3
74.91,0.74,53.03,mild,1.37,79.19,0.99,yes,sport,RWD,689.0,264.17,225.69,821.72,625.21
44.32,10.84,40.25,mild,2.05,80.78,0.7,yes,eco,AWD,1256.37,286.69,182.15,390.43,485.68
95.04,2.97,41.44,hot,-0.44,113.71,0.25,yes,normal,FWD,1202.16,194.55,230.62,240.79,610.92
67.25,3.75,52.04,mild,2.8,58.62,0.28,no,sport,FWD,1668.05,154.37,182.26,434.55,600.96
20.9,6.13,44.66,mild,3.0,116.49,0.28,no,eco,AWD,1796.58,197.41,136.64,445.02,435.21
95.17,11.69,61.43,mild,1.98,114.29,0.82,no,normal,RWD,301.68,286.46,233.08,602.18,627.38
58.55,6.36,41.97,cold,3.31,78.65,0.17,yes,sport,FWD,1162.14,266.24,87.63,128.32,505.49
67.49,5.37,47.31,mild,-2.6,116.68,0.26,yes,eco,AWD,1072.14,229.02,120.17,892.11,518.53
24.17,11.2,42.71,cold,-4.61,34.5,0.07,yes,eco,AWD,1678.26,214.03,136.16,570.68,447.61
52.8,11.6,56.02,mild,2.32,77.53,0.98,no,sport,RWD,1131.27,216.2,234.95,457.33,560.45
14.85,10.18,63.09,cold,4.1,45.27,0.51,no,eco,FWD,1080.01,164.1,89.05,989.61,485.54
96.81,14.78,42.59,hot,0.27,59.47,0.97,yes,eco,AWD,1591.78,292.66,134.57,569.51,507.27
18.92,10.89,41.56,mild,-1.27,78.58,0.33,yes,sport,AWD,1187.43,167.94,90.7,667.68,401.85
82.92,1.19,58.97,cold,3.03,117.05,0.52,yes,sport,RWD,588.07,177.95,163.11,234.55,577.32
61.7,8.99,55.08,cold,-0.92,78.18,0.37,yes,normal,AWD,356.74,204.24,208.28,932.33,582.1
65.27,12.31,60.0,cold,-3.75,100.03,0.55,no,normal,RWD,1748.17,280.19,236.41,760.48,543.54
65.85,1.78,58.24,mild,2.22,33.08,0.03,no,normal,FWD,1490.69,263.27,135.19,978.45,620.21
70.45,3.24,57.41,mild,-2.53,105.76,0.57,no,eco,AWD,1009.15,187.37,117.79,300.49,575.09
24.6,11.56,43.48,hot,-4.92,51.08,0.47,yes,eco,FWD,135.4,259.5,119.73,114.65,452.18
93.13,2.68,44.82,hot,1.81,80.9,0.21,no,normal,AWD,609.76,219.51,118.37,363.44,619.84
31.77,2.57,46.48,cold,2.08,111.06,0.01,no,normal,RWD,1532.78,198.71,110.5,764.71,492.88
25.93,5.73,63.78,mild,-4.15,93.83,0.35,no,normal,RWD,295.04,230.85,223.76,233.02,577.68
77.91,3.05,64.94,hot,-3.03,98.83,0.15,yes,sport,AWD,1314.73,182.66,140.28,236.82,555.22
94.41,4.67,52.9,hot,-0.09,66.83,0.4,no,sport,FWD,596.46,201.6,103.55,150.31,609.0
88.22,7.42,48.22,hot,-3.26,38.82,0.88,yes,normal,FWD,1399.26,277.87,55.85,927.83,501.08
23.78,14.96,49.71,cold,-2.45,114.93,0.17,no,sport,FWD,165.59,270.19,179.14,524.21,441.61
15.98,2.57,52.42,hot,-1.38,55.93,0.68,no,eco,RWD,1017.98,265.54,209.02,402.49,562.95
38.26,8.62,58.61,mild,0.11,92.98,0.13,no,normal,FWD,189.63,283.37,232.8,581.95,608.88
14.64,12.14,51.83,hot,3.18,107.42,0.86,yes,eco,FWD,1892.03,170.11,200.69,318.04,404.98
17.61,12.46,40.33,mild,-2.81,63.73,0.66,no,normal,RWD,933.81,277.01,137.45,469.31,462.43
68.34,7.47,62.46,hot,-4.65,72.23,0.37,yes,sport,RWD,554.91,299.82,78.32,680.65,522.96
55.75,8.09,64.26,mild,1.78,28.69,0.53,yes,sport,RWD,1547.89,263.07,108.78,743.4,505.58
36.21,7.29,56.75,mild,-0.71,21.8,0.04,no,sport,FWD,1939.05,276.97,150.43,448.6,530.66
33.19,7.41,61.62,mild,4.46,117.85,0.04,no,sport,AWD,117.94,151.01,95.11,888.12,481.92
31.72,13.82,64.86,cold,3.59,74.37,0.23,yes,eco,AWD,1871.73,206.59,204.21,589.89,526.13
72.22,12.48,47.81,hot,4.07,90.52,0.71,yes,normal,FWD,1957.94,251.89,195.46,134.31,493.36
42.96,11.54,53.3,mild,-3.03,43.18,0.76,yes,sport,AWD,1975.63,257.55,120.69,128.18,433.25
72.08,9.25,52.94,mild,3.92,57.41,0.9,yes,normal,RWD,721.61,267.24,78.1,193.54,489.11
38.55,13.91,48.37,cold,2.71,113.76,0.11,no,sport,RWD,321.46,236.19,123.78,152.97,470.08
82.07,13.02,57.94,cold,1.9,32.57,0.68,no,normal,RWD,1738.48,222.62,142.58,387.92,545.84
72.7,5.01,46.35,mild,2.46,31.93,0.16,no,eco,RWD,1494.4,207.69,162.93,420.69,620.63
82.84,11.47,63.75,cold,-2.46,88.28,0.62,no,eco,AWD,1387.65,253.98,188.08,128.06,603.69
94.26,11.35,62.61,hot,-0.0,91.9,0.89,yes,sport,AWD,1394.53,247.34,135.31,772.73,546.45
97.14,4.04,55.23,mild,4.16,22.6,0.67,yes,eco,FWD,541.32,176.01,56.51,242.25,560.7
50.16,11.86,47.99,cold,1.92,108.8,0.65,yes,normal,FWD,380.69,282.56,189.84,485.96,492.03
30.8,8.7,48.2,cold,-2.18,60.37,0.9,no,sport,RWD,1424.73,240.32,216.12,349.75,491.77
39.44,13.82,51.31,cold,-0.07,43.43,0.19,no,sport,RWD,901.84,204.65,139.77,236.33,529.03
87.28,13.71,40.63,cold,4.43,32.9,0.59,no,eco,AWD,1386.27,156.67,231.88,204.82,586.93
20.23,3.42,56.8,mild,-1.24,66.71,0.97,no,normal,FWD,250.38,245.59,219.2,781.19,582.88
33.77,10.73,54.01,hot,-0.35,59.27,0.14,yes,sport,AWD,1368.02,218.07,153.53,202.3,468.65
33.0,3.83,48.96,hot,-2.67,61.73,0.91,no,sport,AWD,1505.94,265.28,210.08,250.84,522.84
22.59,5.38,55.7,hot,-2.44,53.68,0.68,yes,sport,RWD,587.95,252.6,55.34,906.86,452.23
50.14,2.38,40.44,cold,-2.2,25.74,0.28,yes,eco,FWD,1047.7,171.29,147.7,541.63,537.72
19.82,4.38,58.53,cold,-0.83,85.49,0.63,no,eco,FWD,1617.02,277.39,170.04,689.13,552.82
89.06,12.34,48.73,hot,4.51,46.32,0.72,no,eco,AWD,1837.59,297.19,206.52,291.57,578.75
59.45,14.71,64.8,cold,1.51,61.07,0.55,no,eco,RWD,910.95,279.43,96.26,688.71,553.49
93.47,14.43,43.71,cold,-3.43,74.45,0.29,yes,sport,FWD,1551.82,299.77,223.78,164.28,562.16
19.23,5.15,50.43,hot,0.23,28.17,0.66,no,eco,AWD,1443.6,218.27,215.81,339.39,551.25
86.79,7.95,41.51,mild,-2.64,49.73,0.85,yes,normal,RWD,615.34,265.19,113.53,583.92,523.27
51.48,4.95,51.22,hot,-1.83,99.41,0.24,yes,eco,FWD,697.71,272.45,97.82,328.12,508.92
